"","TIME_PERIOD","Cna_produit","OBS_VALUE"
"271",2003-04-01,"Biens",-0.000992117761145784
"272",2003-04-01,"Biens manufacturés",0.0094959842852525
"273",2003-04-01,"Biens industriels",-0.00225775169704354
"274",2003-01-01,"Biens",-0.00175760487747801
"275",2003-01-01,"Biens manufacturés",0.00997054891543829
"276",2003-01-01,"Biens industriels",-0.00318659241242472
"277",2002-10-01,"Biens",0.00382547042270447
"278",2002-10-01,"Biens manufacturés",0.0129209769971059
"279",2002-10-01,"Biens industriels",0.00225822926785303
"280",2002-07-01,"Biens",0.00372774616087452
"281",2002-07-01,"Biens manufacturés",0.0141080467465913
"282",2002-07-01,"Biens industriels",0.0026328308469107
"283",2002-04-01,"Biens",0.00616273691593773
"284",2002-04-01,"Biens manufacturés",0.0172836180475433
"285",2002-04-01,"Biens industriels",0.00509283496063472
"286",2002-01-01,"Biens",-0.000225512078990731
"287",2002-01-01,"Biens manufacturés",0.0100609138877001
"288",2002-01-01,"Biens industriels",-0.00129413181693544
"289",2001-10-01,"Biens",0.00133234832873232
"290",2001-10-01,"Biens manufacturés",0.0125043741980637
"291",2001-10-01,"Biens industriels",0.000658397812252939
"292",2001-07-01,"Biens",0.00163367288103017
"293",2001-07-01,"Biens manufacturés",0.0140693259086494
"294",2001-07-01,"Biens industriels",0.000828524084338038
"295",2001-04-01,"Biens",-0.00104611560757293
"296",2001-04-01,"Biens manufacturés",0.0128916051188875
"297",2001-04-01,"Biens industriels",-0.00216826468035793
"298",2001-01-01,"Biens",-1.31914635401139e-05
"299",2001-01-01,"Biens manufacturés",0.0131518891494936
"300",2001-01-01,"Biens industriels",-0.000796764397822881
"301",2000-10-01,"Biens",-0.00784276141872519
"302",2000-10-01,"Biens manufacturés",0.00778153144159326
"303",2000-10-01,"Biens industriels",-0.00903009054050097
"304",2000-07-01,"Biens",-0.00894202617755963
"305",2000-07-01,"Biens manufacturés",0.00441853956772582
"306",2000-07-01,"Biens industriels",-0.0103036467751658
"307",2000-04-01,"Biens",-0.000589212501125232
"308",2000-04-01,"Biens manufacturés",0.0102948517557714
"309",2000-04-01,"Biens industriels",-0.00248505828020873
"310",2000-01-01,"Biens",-0.00089866389417334
"311",2000-01-01,"Biens manufacturés",0.0105461664380834
"312",2000-01-01,"Biens industriels",-0.00261027297261425
"313",1999-10-01,"Biens",0.00571137576632314
"314",1999-10-01,"Biens manufacturés",0.0138142142919441
"315",1999-10-01,"Biens industriels",0.00406830017640555
"316",1999-07-01,"Biens",0.0135346114436253
"317",1999-07-01,"Biens manufacturés",0.0199365796992245
"318",1999-07-01,"Biens industriels",0.0117821332853828
"319",1999-04-01,"Biens",0.00951840572493892
"320",1999-04-01,"Biens manufacturés",0.014529464213342
"321",1999-04-01,"Biens industriels",0.00789147627925289
"322",1999-01-01,"Biens",0.0101042511361449
"323",1999-01-01,"Biens manufacturés",0.0134149685263078
"324",1999-01-01,"Biens industriels",0.00851744033416369
"325",1998-10-01,"Biens",0.0123440821018159
"326",1998-10-01,"Biens manufacturés",0.0166185034821541
"327",1998-10-01,"Biens industriels",0.0111387775860396
"328",1998-07-01,"Biens",0.0151139170037489
"329",1998-07-01,"Biens manufacturés",0.0198281324955138
"330",1998-07-01,"Biens industriels",0.0131210357060367
"331",1998-04-01,"Biens",0.0144115887861592
"332",1998-04-01,"Biens manufacturés",0.0199554231674547
"333",1998-04-01,"Biens industriels",0.013265922529155
"334",1998-01-01,"Biens",0.0161453532190117
"335",1998-01-01,"Biens manufacturés",0.0218264036728652
"336",1998-01-01,"Biens industriels",0.0149022480985596
"337",1997-10-01,"Biens",0.0178856002822281
"338",1997-10-01,"Biens manufacturés",0.0257016167293164
"339",1997-10-01,"Biens industriels",0.0164714183180663
"340",1997-07-01,"Biens",0.0173100929307874
"341",1997-07-01,"Biens manufacturés",0.0252932020281412
"342",1997-07-01,"Biens industriels",0.0159045725646123
"343",1997-04-01,"Biens",0.0210091634385663
"344",1997-04-01,"Biens manufacturés",0.0273468445708654
"345",1997-04-01,"Biens industriels",0.0190317570222879
"346",1997-01-01,"Biens",0.0150043321253976
"347",1997-01-01,"Biens manufacturés",0.0227958335704935
"348",1997-01-01,"Biens industriels",0.0134896693038875
"349",1996-10-01,"Biens",0.00929272727851749
"350",1996-10-01,"Biens manufacturés",0.0172733902531456
"351",1996-10-01,"Biens industriels",0.00711444576429338
"352",1996-07-01,"Biens",0.00719274837859197
"353",1996-07-01,"Biens manufacturés",0.01315684222988
"354",1996-07-01,"Biens industriels",0.00570812415809968
"355",1996-04-01,"Biens",0.00480843404474158
"356",1996-04-01,"Biens manufacturés",0.0120821547955773
"357",1996-04-01,"Biens industriels",0.00394060169709437
"358",1996-01-01,"Biens",0.00762185771886612
"359",1996-01-01,"Biens manufacturés",0.0124512940371311
"360",1996-01-01,"Biens industriels",0.0059980566038345
"361",1995-10-01,"Biens",0.00488675907004681
"362",1995-10-01,"Biens manufacturés",0.00983227676618637
"363",1995-10-01,"Biens industriels",0.00387480495400505
"364",1995-07-01,"Biens",0.00123001633461692
"365",1995-07-01,"Biens manufacturés",0.00575319640244822
"366",1995-07-01,"Biens industriels",-0.000134481785918117
"367",1995-04-01,"Biens",0.00547968691271406
"368",1995-04-01,"Biens manufacturés",0.00962736810175996
"369",1995-04-01,"Biens industriels",0.00390040289876097
"370",1995-01-01,"Biens",0.00677108473842774
