"","date","Metier","Indice","Valeur"
"155",2021-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",113.149352545087
"156",2021-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",117.360204244372
"157",2022-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",99.0820862624388
"158",2022-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",103.436771370416
"159",2022-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",98.1011672916326
"160",2022-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",102.412740739415
"161",2022-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",111.355570239368
"162",2022-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",116.249678364295
"163",2023-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",95.5431980655537
"164",2023-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",100.493796749045
"165",2023-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",95.9923180822228
"166",2023-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",100.966188050413
"167",2023-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",110.230139180185
"168",2023-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",115.941746002599
"169",2024-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",95.2908972860866
"170",2024-01-01,"Cadres y compris chefs d'entreprise","Salaire déflaté par l'indice IPC",100.537795008896
"171",2024-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",95.6539476906176
"172",2024-01-01,"Professions intermédiaires","Salaire déflaté par l'indice IPC",100.920835657984
"173",2024-01-01,"Ouvriers","Salaire déflaté par l'indice IPCH harmonisé par Eurostat",111.14413979632
"174",2024-01-01,"Ouvriers","Salaire déflaté par l'indice IPC",117.263947150532
